"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94879000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94909000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94939000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94969000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94999000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95029000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95059000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95089000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95119000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95149000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95179000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95209000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95239000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95269000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95299000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95329000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95359000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95389000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95419000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95449000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95479000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95509000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95539000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95569000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95599000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95629000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95659000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95689000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95719000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95749000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95779000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95809000000E+005,  0.69278156950E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95839000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95869000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95899000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95929000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95959000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95989000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96019000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96049000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96079000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96109000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96139000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96169000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96199000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96229000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96259000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96289000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96319000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96349000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96379000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96409000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96439000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96469000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96499000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96529000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96559000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96589000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96619000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96649000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96679000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96709000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96739000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96769000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96799000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96829000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96859000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96889000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96919000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96949000000E+005,  0.69278156951E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96979000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97009000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97039000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97069000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97099000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97129000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97159000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97189000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97219000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97249000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97279000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97309000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97339000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97369000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97399000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97429000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97459000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97489000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97519000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97549000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97579000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97609000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97639000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97669000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97699000000E+005,  0.69278156952E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97729000000E+005,  0.69278156953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97759000000E+005,  0.69278156953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97789000000E+005,  0.69278156953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97819000000E+005,  0.69278156953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97849000000E+005,  0.69278156953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97879000000E+005,  0.69278156953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97909000000E+005,  0.69278156953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97939000000E+005,  0.69278156953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97969000000E+005,  0.69278156953E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.97999000000E+005,  0.69278156954E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98029000000E+005,  0.69278156954E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98059000000E+005,  0.69278156954E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98089000000E+005,  0.69278156954E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98119000000E+005,  0.69278156954E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98149000000E+005,  0.69278156954E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98179000000E+005,  0.69278156955E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98209000000E+005,  0.69278156955E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98239000000E+005,  0.69278156955E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98269000000E+005,  0.69278156955E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98299000000E+005,  0.69278156956E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98329000000E+005,  0.69278156956E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98359000000E+005,  0.69278156956E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98389000000E+005,  0.69278156957E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98419000000E+005,  0.69278156957E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98449000000E+005,  0.69278156958E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98479000000E+005,  0.69278156958E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98509000000E+005,  0.69278156959E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.98539000000E+005,  0.69278156959E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
