"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94879000000E+005,  0.70405065271E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884000000E+005,  0.70405065271E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94909000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94939000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94969000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94999000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95029000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95059000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95089000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95119000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95149000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95179000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95209000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95239000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95269000000E+005,  0.70405065272E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95299000000E+005,  0.70405065273E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95329000000E+005,  0.70405065273E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95359000000E+005,  0.70405065274E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95389000000E+005,  0.70405065275E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95419000000E+005,  0.70405065276E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95449000000E+005,  0.70405065279E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95479000000E+005,  0.70405065281E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95509000000E+005,  0.70405065285E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95539000000E+005,  0.70405065291E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95569000000E+005,  0.70405065297E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95599000000E+005,  0.70405065306E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95629000000E+005,  0.70405065317E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95659000000E+005,  0.70405065331E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95689000000E+005,  0.70405065349E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95719000000E+005,  0.70405065370E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95749000000E+005,  0.70405065396E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95779000000E+005,  0.70405065428E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95809000000E+005,  0.70405065466E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95839000000E+005,  0.70405065511E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95869000000E+005,  0.70405065564E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95899000000E+005,  0.70405065627E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95929000000E+005,  0.70405065700E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95959000000E+005,  0.70405065784E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95989000000E+005,  0.70405065882E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96019000000E+005,  0.70405065993E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96049000000E+005,  0.70405066121E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
