"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94881000000E+005,  0.49765344381E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884000000E+005,  0.58815291495E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94885000000E+005,  0.80246104453E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94888000000E+005,  0.14338525108E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94890000000E+005,  0.17960934798E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94893000000E+005,  0.21250384480E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94895000000E+005,  0.19000295430E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94898000000E+005,  0.18102444916E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94900000000E+005,  0.17610988224E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94901000000E+005,  0.17121149596E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94905000000E+005,  0.17112181773E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94911000000E+005,  0.16161023090E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94921000000E+005,  0.16644575880E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94931000000E+005,  0.15826511622E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94941000000E+005,  0.14933848212E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94951000000E+005,  0.14539904406E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94961000000E+005,  0.14301460675E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94971000000E+005,  0.13478782614E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94981000000E+005,  0.13157874675E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94991000000E+005,  0.12910937558E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95001000000E+005,  0.12780308662E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95011000000E+005,  0.12587638029E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95021000000E+005,  0.12480981657E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95031000000E+005,  0.12338728552E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95041000000E+005,  0.12306676398E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95051000000E+005,  0.12246932749E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95061000000E+005,  0.12067594438E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95071000000E+005,  0.11881299767E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95081000000E+005,  0.11985602166E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95091000000E+005,  0.12061526416E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95101000000E+005,  0.11852611969E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95111000000E+005,  0.11787437901E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95121000000E+005,  0.11735571916E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95131000000E+005,  0.11758194823E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95141000000E+005,  0.11740638642E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95151000000E+005,  0.11698430034E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95161000000E+005,  0.11682242717E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95171000000E+005,  0.11652305226E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95181000000E+005,  0.11613190045E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95191000000E+005,  0.11579031895E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95201000000E+005,  0.11523998652E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95211000000E+005,  0.11513865012E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95221000000E+005,  0.11503942842E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95231000000E+005,  0.11537869776E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95241000000E+005,  0.11573986551E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95251000000E+005,  0.11587111292E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95261000000E+005,  0.11604035117E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95271000000E+005,  0.11620358380E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95281000000E+005,  0.11672670462E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95291000000E+005,  0.11751064347E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95301000000E+005,  0.11717341166E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95311000000E+005,  0.11718665100E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95321000000E+005,  0.11821537307E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95331000000E+005,  0.11992200378E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95341000000E+005,  0.12141657236E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95351000000E+005,  0.12276210850E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95361000000E+005,  0.12364606277E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95371000000E+005,  0.12435874701E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95381000000E+005,  0.12477084253E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95391000000E+005,  0.12514934177E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95401000000E+005,  0.12535158758E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95411000000E+005,  0.12598539167E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95421000000E+005,  0.12614066264E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95431000000E+005,  0.12618017549E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95441000000E+005,  0.12593023861E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95451000000E+005,  0.12571287613E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95461000000E+005,  0.12559716325E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95471000000E+005,  0.12538898001E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95481000000E+005,  0.12558478410E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95491000000E+005,  0.12560695255E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95501000000E+005,  0.12551381478E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95511000000E+005,  0.12590592373E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95521000000E+005,  0.12666311156E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95531000000E+005,  0.12759559988E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95541000000E+005,  0.12886993661E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95551000000E+005,  0.13034149462E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95561000000E+005,  0.13176623431E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95571000000E+005,  0.13312386356E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95581000000E+005,  0.13451683182E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95591000000E+005,  0.13586102356E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95601000000E+005,  0.13723564735E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95611000000E+005,  0.13859677769E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95621000000E+005,  0.13994428112E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95631000000E+005,  0.14125719700E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95641000000E+005,  0.14248335613E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95651000000E+005,  0.14373744360E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95661000000E+005,  0.14495592722E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95671000000E+005,  0.14614609529E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95681000000E+005,  0.14724593334E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95691000000E+005,  0.14828789198E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95701000000E+005,  0.14918787989E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95711000000E+005,  0.15010511422E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95721000000E+005,  0.15089511617E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95731000000E+005,  0.15158766607E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95741000000E+005,  0.15202191774E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95751000000E+005,  0.15241502088E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95761000000E+005,  0.15260494791E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95771000000E+005,  0.15263979312E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95781000000E+005,  0.15252619932E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95791000000E+005,  0.15246395593E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95801000000E+005,  0.15247937226E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95811000000E+005,  0.15260022969E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95821000000E+005,  0.15271585129E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95831000000E+005,  0.15303545205E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95841000000E+005,  0.15352469648E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95851000000E+005,  0.15408441734E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95861000000E+005,  0.15448010702E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95871000000E+005,  0.15478343900E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95881000000E+005,  0.15496465987E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95891000000E+005,  0.15505052133E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95901000000E+005,  0.15506522417E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95911000000E+005,  0.15498734028E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95921000000E+005,  0.15483200428E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95931000000E+005,  0.15468741403E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95941000000E+005,  0.15462036787E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95951000000E+005,  0.15459798339E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95961000000E+005,  0.15438822775E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95971000000E+005,  0.15485073317E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95981000000E+005,  0.15509045086E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95991000000E+005,  0.15526881003E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96001000000E+005,  0.15531215513E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96011000000E+005,  0.15525990229E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96021000000E+005,  0.15513609209E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96031000000E+005,  0.15501683788E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96041000000E+005,  0.15489383930E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96051000000E+005,  0.15474221992E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96061000000E+005,  0.15462212768E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96071000000E+005,  0.15450073022E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96081000000E+005,  0.15438680559E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96091000000E+005,  0.15430313133E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96101000000E+005,  0.15422435584E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96111000000E+005,  0.15416222404E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96121000000E+005,  0.15411048802E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96131000000E+005,  0.15404574906E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96141000000E+005,  0.15400460628E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96151000000E+005,  0.15397551753E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96161000000E+005,  0.15395549685E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96171000000E+005,  0.15392995537E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96181000000E+005,  0.15390542093E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96191000000E+005,  0.15387046162E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96201000000E+005,  0.15383879762E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96211000000E+005,  0.15379374235E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96221000000E+005,  0.15374739019E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96231000000E+005,  0.15369656796E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96241000000E+005,  0.15364815793E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96251000000E+005,  0.15359875486E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96261000000E+005,  0.15354054631E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96271000000E+005,  0.15347818112E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96281000000E+005,  0.15341295237E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96291000000E+005,  0.15334028432E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96301000000E+005,  0.15327677599E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96311000000E+005,  0.15320095546E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96321000000E+005,  0.15313352825E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96331000000E+005,  0.15306429684E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96341000000E+005,  0.15300140610E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96351000000E+005,  0.15294319870E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96361000000E+005,  0.15288997073E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96371000000E+005,  0.15283769467E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96381000000E+005,  0.15280590287E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96391000000E+005,  0.15276899803E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96401000000E+005,  0.15274591193E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96411000000E+005,  0.15274448030E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96421000000E+005,  0.15273713520E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96431000000E+005,  0.15273676866E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96441000000E+005,  0.15274884265E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96451000000E+005,  0.15277310553E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96461000000E+005,  0.15280078890E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96471000000E+005,  0.15282367943E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96481000000E+005,  0.15285821195E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96491000000E+005,  0.15287689187E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96501000000E+005,  0.15290678341E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96511000000E+005,  0.15293696953E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96521000000E+005,  0.15296876343E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96531000000E+005,  0.15299572664E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96541000000E+005,  0.15303145390E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96551000000E+005,  0.15306701932E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96561000000E+005,  0.15309176689E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96571000000E+005,  0.15310783674E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96581000000E+005,  0.15314579720E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96591000000E+005,  0.15316186265E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96601000000E+005,  0.15316493588E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96611000000E+005,  0.15317044676E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96621000000E+005,  0.15315581610E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96631000000E+005,  0.15313608370E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96641000000E+005,  0.15311965169E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96651000000E+005,  0.15306512521E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96661000000E+005,  0.15297915195E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96671000000E+005,  0.15298379566E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96681000000E+005,  0.15297083728E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96691000000E+005,  0.15295081269E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96701000000E+005,  0.15292695344E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96711000000E+005,  0.15289935327E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96721000000E+005,  0.15287889305E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96731000000E+005,  0.15285659696E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96741000000E+005,  0.15282272021E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96751000000E+005,  0.15280772280E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96761000000E+005,  0.15278514423E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96771000000E+005,  0.15276767417E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96781000000E+005,  0.15275125813E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
