"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.94879000000E+005,  0.34911337515E+006,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94884000000E+005,  0.17703435428E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94904000000E+005,  0.10648078345E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94924000000E+005,  0.11584058282E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94944000000E+005,  0.19849164233E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94964000000E+005,  0.11861296398E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.94984000000E+005,  0.10207622813E+008,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95004000000E+005,  0.98690370077E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95024000000E+005,  0.98222569561E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95044000000E+005,  0.94099114969E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95064000000E+005,  0.90525705249E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95084000000E+005,  0.90932893844E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95104000000E+005,  0.90909498727E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95124000000E+005,  0.90660472501E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95144000000E+005,  0.89978076901E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95164000000E+005,  0.91205590874E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95184000000E+005,  0.91450990286E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95204000000E+005,  0.90245171443E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95224000000E+005,  0.87981885927E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95244000000E+005,  0.86793025192E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95264000000E+005,  0.86041100162E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95284000000E+005,  0.86991438632E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95304000000E+005,  0.87522575463E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95324000000E+005,  0.87885320464E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95344000000E+005,  0.87433850657E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95364000000E+005,  0.86791296262E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95384000000E+005,  0.86177762064E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95404000000E+005,  0.85535871733E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95424000000E+005,  0.85799541214E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95444000000E+005,  0.86200440837E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95464000000E+005,  0.86582807472E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95484000000E+005,  0.86330703177E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95504000000E+005,  0.86579562292E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95524000000E+005,  0.86458661681E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95544000000E+005,  0.85756403563E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95564000000E+005,  0.85507977833E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95584000000E+005,  0.85613262308E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95604000000E+005,  0.85314422438E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95624000000E+005,  0.83904411339E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95644000000E+005,  0.83417085742E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95664000000E+005,  0.83842107665E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95684000000E+005,  0.84219402580E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95704000000E+005,  0.84217462803E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95724000000E+005,  0.84298064561E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95744000000E+005,  0.83946390958E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95764000000E+005,  0.83839649718E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95784000000E+005,  0.83890514408E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95804000000E+005,  0.84052302072E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95824000000E+005,  0.84358777468E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95844000000E+005,  0.84610679087E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95864000000E+005,  0.84799801510E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95884000000E+005,  0.84689409961E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95904000000E+005,  0.84253526139E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95924000000E+005,  0.83866041949E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95944000000E+005,  0.83601659753E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95964000000E+005,  0.83463510562E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.95984000000E+005,  0.83330298875E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96004000000E+005,  0.83242525050E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96024000000E+005,  0.83328579816E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96044000000E+005,  0.83525741539E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96064000000E+005,  0.83617658113E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96084000000E+005,  0.83664012637E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96104000000E+005,  0.83799132953E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96124000000E+005,  0.83800844407E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96144000000E+005,  0.83913088923E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96164000000E+005,  0.83780024496E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96184000000E+005,  0.83562172273E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96204000000E+005,  0.83876411788E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96224000000E+005,  0.84219876897E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96244000000E+005,  0.84520355276E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96264000000E+005,  0.84800975993E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96284000000E+005,  0.84997141135E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96304000000E+005,  0.85047665912E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96324000000E+005,  0.84997845155E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96344000000E+005,  0.85050204736E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96364000000E+005,  0.85051829130E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96384000000E+005,  0.85134733658E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96404000000E+005,  0.85266377644E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
  0.96424000000E+005,  0.85213986871E+007,  0.16500000000E+002,  0.00000000000E+000,  0.10000000000E+001
